location_name,iso3,region,income_group
United Republic of Tanzania,TZA,Sub-Saharan Africa,Lower middle income
United States Virgin Islands,VIR,Latin America & Caribbean,High income
United States of America,USA,North America,High income
Uruguay,URY,Latin America & Caribbean,High income
Uzbekistan,UZB,Europe & Central Asia,Lower middle income
Vanuatu,VUT,East Asia & Pacific,Lower middle income
Venezuela (Bolivarian Republic of),VEN,Latin America & Caribbean,Lower middle income
Viet Nam,VNM,East Asia & Pacific,Upper middle income
Yemen,YEM,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Zambia,ZMB,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income
